"","all_strikes$Op_type","V1"
"1","C1175",67.375
"2","C1200",53.8
"3","C1225",40.225
"4","C1250",29.725
"5","C1275",22.3
"6","C1300",14.875
"7","C1325",9.70833333333333
"8","C1350",6.8
"9","C1375",3.89166666666667
"10","C1400",2.16666666666667
"11","C1425",1.625
"12","C1450",1.08333333333333
"13","C1475",0.541666666666667
"14","P800",1.425
"15","P900",3.35833333333333
"16","P950",5.8
"17","P995",7.9975
"18","P1025",11.4958333333333
"19","P1050",14.75
"20","P1060",16.0516666666667
"21","P1075",18.0041666666667
"22","P1100",21.2583333333333
"23","P1150",34.6416666666667
"24","P1175",44.7708333333333
"25","P1200",54.9
