Op_name,w_1,w_2,w_3,w_4,w_5,w_6,w_7,w_8,w_9
P1175,225,0,0,0,0,0,0,0,0
P1200,250,0,0,0,0,0,0,0,0
P1225,275,0,0,0,0,0,0,0,0
P1250,300,12.5,0,0,0,0,0,0,0
P1275,325,37.5,0,0,0,0,0,0,0
P1300,350,62.5,0,0,0,0,0,0,0
P1325,375,87.5,12.5,0,0,0,0,0,0
P1350,400,112.5,37.5,0,0,0,0,0,0
P1375,425,137.5,62.5,12.5,0,0,0,0,0
P1400,450,162.5,87.5,37.5,12.5,0,0,0,0
P1425,475,187.5,112.5,62.5,37.5,0,0,0,0
P1450,500,212.5,137.5,87.5,62.5,25,0,0,0
P1475,525,237.5,162.5,112.5,87.5,50,0,0,0
P1500,550,262.5,187.5,137.5,112.5,75,0,0,0
P1525,575,287.5,212.5,162.5,137.5,100,25,0,0
P1550,600,312.5,237.5,187.5,162.5,125,50,0,0
P1575,625,337.5,262.5,212.5,187.5,150,75,0,0
P1600,650,362.5,287.5,237.5,212.5,175,100,25,0
C1175,0,62.5,137.5,187.5,212.5,250,325,400,500
C1200,0,37.5,112.5,162.5,187.5,225,300,375,475
C1225,0,12.5,87.5,137.5,162.5,200,275,350,450
C1250,0,0,62.5,112.5,137.5,175,250,325,425
C1275,0,0,37.5,87.5,112.5,150,225,300,400
C1300,0,0,12.5,62.5,87.5,125,200,275,375
C1325,0,0,0,37.5,62.5,100,175,250,350
C1350,0,0,0,12.5,37.5,75,150,225,325
C1375,0,0,0,0,12.5,50,125,200,300
C1400,0,0,0,0,0,25,100,175,275
C1425,0,0,0,0,0,0,75,150,250
C1450,0,0,0,0,0,0,50,125,225
C1475,0,0,0,0,0,0,25,100,200
C1500,0,0,0,0,0,0,0,75,175
C1525,0,0,0,0,0,0,0,50,150
C1550,0,0,0,0,0,0,0,25,125
C1575,0,0,0,0,0,0,0,0,100
C1600,0,0,0,0,0,0,0,0,75
